gwno_a,gwno_b,year,defense
2,20,1949,1
2,20,1950,1
2,20,1951,1
2,20,1952,1
2,20,1953,1
2,20,1954,1
2,20,1955,1
2,20,1956,1
2,20,1957,1
2,20,1958,1
2,20,1959,1
2,20,1960,1
2,20,1961,1
2,20,1962,1
2,20,1963,1
2,20,1964,1
2,20,1965,1
2,20,1966,1
2,20,1967,1
2,20,1968,1
2,20,1969,1
2,20,1970,1
2,20,1971,1
2,20,1972,1
2,20,1973,1
2,20,1974,1
2,20,1975,1
2,20,1976,1
2,20,1977,1
2,20,1978,1
2,20,1979,1
2,20,1980,1
2,20,1981,1
2,20,1982,1
2,20,1983,1
2,20,1984,1
2,20,1985,1
2,20,1986,1
2,20,1987,1
2,20,1988,1
2,20,1989,1
2,20,1990,1
2,20,1991,1
2,20,1992,1
2,20,1993,1
2,20,1994,1
2,20,1995,1
2,20,1996,1
2,20,1997,1
2,20,1998,1
2,20,1999,1
2,20,2000,1
2,20,2001,1
2,20,2002,1
2,20,2003,1
2,20,2004,1
2,20,2005,1
2,20,2006,1
2,20,2007,1
2,20,2008,1
2,20,2009,1
2,20,2010,1
2,20,2011,1
2,20,2012,1
2,31,1982,1
2,31,1983,1
2,31,1984,1
2,31,1985,1
2,31,1986,1
2,31,1987,1
2,31,1988,1
2,31,1989,1
2,31,1990,1
2,31,1991,1
2,31,1992,1
2,31,1993,1
2,31,1994,1
2,31,1995,1
2,31,1996,1
2,31,1997,1
2,31,1998,1
2,31,1999,1
2,31,2000,1
2,31,2001,1
2,31,2002,1
2,31,2003,1
2,31,2004,1
2,31,2005,1
2,31,2006,1
2,31,2007,1
2,31,2008,1
2,31,2009,1
2,31,2010,1
2,31,2011,1
2,31,2012,1
2,40,1946,1
2,40,1947,1
2,40,1948,1
2,40,1949,1
2,40,1950,1
2,40,1951,1
2,40,1952,1
2,40,1953,1
2,40,1954,1
2,40,1955,1
2,40,1956,1
2,40,1957,1
2,40,1958,1
2,40,1959,1
2,40,1960,1
2,40,1961,1
2,40,1962,1
2,41,1946,1
2,41,1947,1
2,41,1948,1
2,41,1949,1
2,41,1950,1
2,41,1951,1
2,41,1952,1
2,41,1953,1
2,41,1954,1
2,41,1955,1
2,41,1956,1
2,41,1957,1
2,41,1958,1
2,41,1959,1
2,41,1960,1
2,41,1961,1
2,41,1962,1
2,41,1963,1
2,41,1964,1
2,41,1965,1
2,41,1966,1
2,41,1967,1
2,41,1968,1
