gwno,year,battle_deaths
2,1950,34
2,1983,88
2,1989,185
2,2001,12377
2,2002,877
2,2003,3385
2,2004,320
2,2005,100
2,2006,191
2,2007,153
2,2008,182
40,1953,28
42,1965,4027
52,1990,30
55,1983,88
70,1994,110
70,1996,34
90,1949,40
90,1954,48
90,1965,300
90,1966,300
90,1967,350
90,1968,950
90,1969,1600
90,1970,1600
90,1971,1600
90,1972,1600
90,1973,1000
90,1974,1000
90,1975,1000
90,1976,1000
90,1977,1000
90,1978,1600
90,1979,1600
90,1980,3000
90,1981,6000
90,1982,9000
90,1983,2000
90,1984,1600
90,1985,1600
90,1986,1600
90,1987,1000
90,1988,500
90,1989,500
90,1990,500
90,1991,950
90,1992,950
90,1993,200
90,1994,200
90,1995,200
91,1957,20
91,1969,1053
92,1969,1053
92,1972,300
92,1979,300
92,1980,399
92,1981,13001
92,1982,5000
92,1983,9000
92,1984,6000
92,1985,4000
92,1986,4000
92,1987,3000
92,1988,1000
92,1989,6800
92,1990,2000
92,1991,500
93,1957,20
93,1978,2500
93,1979,7500
93,1981,200
93,1982,200
93,1983,3600
93,1984,5500
93,1985,5900
93,1986,4900
93,1987,6200
93,1988,2900
93,1989,600
94,1948,2000
95,1989,260
100,1964,230
100,1965,200
100,1966,100
100,1967,70
100,1968,60
100,1969,90
100,1970,120
100,1971,50
100,1972,50
100,1973,300
100,1974,55
100,1975,40
100,1976,100
100,1977,40
100,1978,200
100,1979,170
100,1980,200
100,1981,340
100,1982,130
100,1983,250
100,1984,380
100,1985,500
100,1986,300
100,1987,200
100,1988,1098
100,1989,692
100,1990,1069
100,1991,1120
100,1992,1471
100,1993,1112
100,1994,1044
100,1995,937
100,1996,1092
100,1997,1150
100,1998,1412
100,1999,1326
100,2000,1469
100,2001,1463
100,2002,2504
100,2003,2576
100,2004,3114
100,2005,2919
100,2006,2957
100,2007,3131
100,2008,1937
101,1962,400
101,1982,26
115,1986,66
115,1987,67
115,1988,67
135,1965,138
135,1982,482
135,1983,1887
135,1984,3418
135,1985,1168
135,1986,772
135,1987,952
135,1988,1233
135,1989,2013
135,1990,1485
135,1991,1192
135,1992,1718
135,1993,1129
135,1994,314
135,1995,428
135,1996,211
135,1997,130
135,1998,92
135,1999,54
135,2007,38
135,2008,36
145,1946,1000
145,1967,82
150,1947,4000
150,1989,100
155,1973,2095
160,1963,25
160,1974,1520
160,1975,1000
160,1976,1480
160,1977,677
160,1982,482
165,1972,111
200,1951,47
200,1952,44
200,1956,535
200,1971,171
200,1972,479
200,1973,253
200,1974,294
200,1975,260
200,1976,295
200,1977,111
200,1978,81
200,1979,121
200,1980,80
200,1981,113
200,1982,592
200,1983,85
200,1984,69
200,1985,57
200,1986,61
200,1987,98
200,1988,104
200,1989,75
200,1990,81
200,1991,96
200,1998,55
200,2003,3385
220,1956,535
220,1961,1877
220,1962,1180
230,1980,91
230,1981,30
230,1987,52
230,1991,46
230,1992,26
310,1956,1585
343,2001,122
345,1991,63
345,1998,1000
345,1999,3000
346,1992,17000
346,1993,17000
346,1994,10000
346,1995,800
350,1946,38500
350,1947,38500
350,1948,38500
350,1949,38500
359,1992,700
360,1989,909
365,1946,12880
365,1947,10184
365,1948,4349
365,1956,1585
365,1969,154
365,1990,420
365,1991,500
365,1993,193
365,1994,500
365,1995,30000
365,1996,16000
365,1999,15100
365,2000,14500
365,2001,5000
365,2002,5000
365,2003,2000
365,2004,2000
365,2005,2000
365,2006,350
365,2007,357
365,2008,339
372,1991,113
372,1992,700
372,1993,2000
372,2004,27
372,2008,621
373,1992,1200
373,1993,83
373,1995,50
373,2005,83
404,1963,1363
404,1964,1363
404,1965,1363
404,1966,1363
404,1967,1364
404,1968,1364
404,1969,1364
404,1970,1364
404,1971,1364
404,1972,1364
404,1973,1364
432,1990,150
432,1994,150
432,2007,39
432,2008,58
433,1990,100
433,1992,104
433,1993,180
433,1995,142
433,1997,200
433,1998,363
433,2000,54
433,2001,90
433,2003,40
436,1991,40
436,1994,400
436,1996,29
436,1997,60
436,2007,81
436,2008,47
437,2002,611
437,2003,600
437,2004,54
439,1987,100
450,1980,27
450,1989,100
450,1990,9900
450,2002,500
450,2003,1661
451,1991,200
451,1992,600
451,1993,600
451,1994,600
451,1995,1000
451,1996,274
451,1997,413
451,1998,2063
451,1999,8250
451,2000,212
452,1966,27
452,1983,26
461,1986,30
471,1957,3900
471,1958,3900
471,1959,3900
471,1984,500
475,1966,20
475,1967,14516
475,1968,29032
475,1969,29032
475,1970,2420
475,1983,185
475,2004,124
481,1964,30
482,1996,55
482,1997,141
482,2006,45
483,1966,1511
483,1967,1511
483,1968,1511
483,1969,1511
483,1970,1511
483,1971,1511
483,1972,1511
483,1976,1511
483,1977,1511
483,1978,1511
483,1979,1511
483,1980,1511
483,1981,1511
483,1982,1511
483,1983,1696
483,1984,1511
483,1986,1512
483,1987,5762
483,1989,800
483,1990,5800
483,1991,200
483,1997,100
483,1998,110
483,1999,65
483,2000,553
483,2001,100
483,2002,418
483,2005,100
483,2006,1400
483,2007,1044
483,2008,713
484,1997,7000
484,1999,600
484,2002,116
490,1961,503
490,1962,80
490,1964,3246
490,1965,3246
490,1967,778
490,1977,326
490,1978,593
490,1996,1800
490,1997,2200
490,1998,36250
490,1999,36250
490,2000,36250
490,2001,36250
490,2006,591
490,2007,1417
490,2008,610
500,1972,200
500,1974,71
500,1978,1923
500,1979,1924
500,1980,14857
500,1981,14857
500,1982,14857
500,1983,14857
500,1984,14857
500,1985,14857
500,1986,14858
500,1987,2000
500,1988,1000
500,1989,1000
500,1991,1000
500,1994,250
500,1995,250
500,1996,500
500,1997,250
500,1998,800
500,2001,283
500,2002,1032
500,2003,624
500,2004,1624
500,2005,770
500,2006,292
500,2007,144
501,1952,2591
501,1953,2591
501,1954,2591
501,1955,2591
501,1956,2591
501,1982,318
516,1965,50
516,1999,600
516,2000,1000
516,2001,1000
516,2002,1000
516,2003,938
516,2004,377
516,2005,284
516,2006,137
516,2008,201
517,1990,2000
517,1991,3200
517,1992,3200
517,1993,1600
517,1997,3000
517,1998,6000
517,1999,1000
517,2000,2000
517,2001,1000
517,2002,800
520,1978,520
520,1987,150
520,1988,11666
520,1989,11667
520,1990,11667
520,1995,500
520,2006,547
520,2007,1589
520,2008,1483
522,1991,200
522,1992,490
522,1993,25
522,1994,25
522,1999,25
530,1960,324
530,1976,7966
530,1977,7967
530,1978,7967
530,1979,1000
530,1980,1000
530,1981,1000
530,1982,1000
530,1983,1000
530,1984,1000
530,1985,1000
530,1986,1000
530,1987,1150
530,1988,1000
530,1989,1000
530,1990,1000
530,1991,1000
530,1998,5000
530,1999,15000
530,2000,5000
531,1997,48
531,1998,5000
531,1999,15239
531,2000,5000
531,2003,57
540,1961,5642
540,1962,5642
540,1963,5643
540,1964,5643
540,1965,5643
540,1966,5643
540,1967,5643
540,1968,5643
540,1969,5643
540,1970,5643
540,1971,5643
540,1972,5643
540,1973,5643
540,1974,5643
540,1975,5882
540,1976,5882
540,1977,5882
540,1978,5882
540,1979,5882
540,1980,5882
540,1981,5882
540,1982,5882
540,1983,5882
540,1984,5882
540,1985,5882
540,1986,5883
540,1987,5883
540,1988,5883
540,1989,5883
540,1990,5883
540,1991,5883
540,1992,3000
540,1993,20000
540,1994,20000
540,1998,1000
540,2002,715
541,1984,26000
541,1985,26000
541,1986,26000
541,1987,26000
541,1988,3000
541,1989,2500
552,1967,29
552,1968,51
552,1973,503
552,1974,503
552,1975,504
552,1976,2162
552,1977,3924
552,1978,10007
552,1979,9397
560,1985,850
560,1986,2150
560,1987,312
560,1988,700
570,1998,114
580,1971,128
581,1989,27
581,1997,56
600,1963,250
600,1971,264
600,1975,1300
600,1976,1300
600,1977,1300
600,1978,1300
600,1979,1300
600,1980,1300
600,1981,606
600,1982,606
600,1983,607
600,1984,607
600,1985,607
600,1986,607
600,1987,650
600,1988,390
600,1989,520
615,1954,20280
615,1955,20280
615,1956,20280
615,1957,20281
615,1958,20281
615,1959,20281
615,1960,20281
615,1961,20281
