gwno,year,month,sb_events,sb_deaths,ns_events,ns_deaths,os_events,os_deaths,provisional
2,2001,9,2,233,0,0,1,2753,0
2,2010,5,0,0,1,2,0,0,0
2,2014,11,0,0,0,0,1,1,0
2,2015,1,0,0,1,1,0,0,0
2,2015,5,0,0,0,0,1,0,0
2,2015,12,0,0,0,0,1,14,0
2,2016,3,0,0,0,0,1,1,0
2,2016,4,0,0,1,1,0,0,0
2,2016,6,0,0,0,0,1,1,0
2,2016,7,0,0,1,1,0,0,0
2,2016,9,0,0,0,0,2,3,0
2,2016,10,0,0,0,0,1,1,0
2,2016,11,0,0,1,1,0,0,0
2,2017,1,0,0,1,1,1,1,0
2,2017,2,0,0,0,0,1,1,0
2,2017,4,0,0,1,2,0,0,0
2,2017,5,0,0,1,1,1,1,0
2,2017,7,0,0,0,0,1,1,0
2,2017,9,0,0,1,1,1,1,0
2,2017,10,0,0,0,0,1,8,0
2,2018,2,0,0,1,1,0,0,0
2,2018,6,0,0,0,0,1,1,0
2,2018,11,0,0,0,0,1,0,0
2,2019,2,0,0,1,1,0,0,0
2,2019,10,0,0,0,0,1,0,0
2,2019,12,0,0,1,4,0,0,0
2,2022,9,0,0,1,1,0,0,0
2,2026,1,0,0,0,0,2,4,1
2,2026,3,0,0,2,3,0,0,1
20,1994,10,0,0,2,2,0,0,0
20,1994,12,0,0,1,1,0,0,0
20,1995,1,0,0,2,14,0,0,0
20,1995,2,0,0,2,2,0,0,0
20,1995,8,0,0,2,3,0,0,0
20,1995,9,0,0,2,4,0,0,0
20,1995,12,0,0,1,1,0,0,0
20,1996,10,0,0,1,2,0,0,0
20,1997,3,0,0,1,2,0,0,0
20,1998,1,0,0,1,19,0,0,0
20,1998,2,0,0,3,3,0,0,0
20,1998,7,0,0,2,2,0,0,0
20,1998,9,0,0,2,2,0,0,0
20,1998,12,0,0,1,1,0,0,0
20,1999,1,0,0,1,9,0,0,0
20,1999,8,0,0,2,2,0,0,0
20,2000,1,0,0,2,15,0,0,0
20,2000,4,0,0,4,6,0,0,0
20,2000,7,0,0,2,2,0,0,0
20,2001,1,0,0,1,1,0,0,0
20,2026,1,0,0,1,2,0,0,1
20,2026,3,0,0,0,0,1,1,1
41,1989,4,4,48,0,0,0,0,0
41,1990,3,0,0,0,0,2,12,0
41,1990,5,0,0,0,0,1,2,0
41,1990,12,0,0,0,0,1,0,0
41,1991,1,0,0,1,40,0,0,0
41,1991,9,1,160,0,0,2,8,0
41,1991,10,0,0,0,0,4,62,0
41,1993,6,0,0,0,0,1,0,0
41,1993,9,0,0,0,0,1,1,0
41,1993,12,0,0,0,0,1,36,0
41,1994,1,0,0,0,0,1,0,0
41,1994,2,0,0,0,0,1,6,0
41,1994,4,0,0,0,0,1,26,0
41,1994,7,0,0,0,0,1,12,0
41,1995,11,0,0,0,0,1,1,0
41,1999,4,0,0,0,0,1,0,0
41,1999,5,0,0,0,0,1,11,0
41,2004,1,3,3,0,0,0,0,0
41,2004,2,11,143,0,0,2,24,0
41,2004,8,1,0,0,0,0,0,0
41,2004,9,2,42,0,0,0,0,0
41,2004,10,1,13,0,0,1,0,0
41,2004,11,1,6,0,0,0,0,0
41,2005,1,0,0,0,0,1,4,0
41,2005,2,0,0,0,0,2,9,0
41,2005,4,0,0,0,0,2,6,0
41,2005,8,0,0,0,0,2,21,0
41,2017,11,0,0,0,0,1,8,0
41,2018,11,0,0,0,0,1,71,0
41,2019,11,0,0,0,0,1,1,0
41,2020,5,0,0,0,0,6,34,0
41,2020,6,0,0,0,0,8,13,0
41,2020,7,0,0,0,0,18,89,0
41,2020,8,0,0,0,0,4,9,0
41,2020,9,0,0,0,0,2,3,0
41,2020,10,0,0,0,0,8,16,0
41,2020,12,0,0,0,0,3,5,0
41,2021,1,0,0,1,2,1,1,0
41,2021,2,0,0,2,4,2,7,0
41,2021,3,0,0,0,0,2,5,0
41,2021,4,0,0,2,4,2,30,0
41,2021,5,0,0,2,17,5,23,0
41,2021,6,0,0,1,25,2,18,0
41,2021,9,0,0,0,0,1,1,0
41,2021,10,0,0,0,0,1,1,0
41,2021,11,0,0,0,0,2,2,0
41,2022,2,0,0,0,0,2,2,0
41,2022,4,0,0,0,0,41,78,0
41,2022,5,0,0,0,0,11,14,0
41,2022,7,0,0,5,99,0,0,0
41,2022,8,0,0,0,0,1,9,0
41,2022,9,0,0,1,5,1,2,0
41,2022,10,0,0,3,27,0,0,0
41,2023,2,0,0,0,0,3,30,0
41,2023,3,0,0,0,0,16,84,0
41,2023,4,0,0,2,73,3,144,0
41,2023,5,0,0,0,0,1,1,0
