gwno,year,gdp_pc,inflation,pop_0014,pop_1564,urban_pct,infant_mort,pop_growth,excluded_share,cinc
2,1946,,,,,,,,0.132,0.36399
2,1947,,,,,,,,0.132,0.30994
2,1948,,,,,,,,0.132,0.29466
2,1949,,,,,,,,0.132,0.27317
2,1950,,,,,,,,0.132,0.28444
2,1951,,,,,,,,0.132,0.3195
2,1952,,,,,,,,0.132,0.31137
2,1953,,,,,,,,0.132,0.31116
2,1954,,,,,,,,0.132,0.28094
2,1955,,,,,,,,0.132,0.26642
2,1956,,,,,,,,0.132,0.26061
2,1957,,,,,,,,0.132,0.25505
2,1958,,,,,,,,0.132,0.23447
2,1959,,,,,,,,0.132,0.22896
2,1960,18991.545,1.458,31.265,59.903,69.98,25.9,,0.132,0.21544
2,1961,19108.935,1.071,31.405,59.663,70.446,25.5,1.658,0.132,0.21065
2,1962,19965.144,1.199,31.291,59.698,70.924,25,1.538,0.132,0.20991
2,1963,20545.784,1.24,31.111,59.815,71.398,24.4,1.439,0.132,0.20797
2,1964,21437.584,1.279,30.934,59.924,71.855,23.9,1.389,0.132,0.20298
2,1965,22526.206,1.585,30.704,60.038,72.282,23.3,1.25,0.132,0.20154
2,1966,23714.939,3.015,30.389,60.241,72.665,22.7,1.155,0.297,0.20867
2,1967,24044.565,2.773,29.988,60.563,72.99,22.1,1.089,0.297,0.20855
2,1968,24948.357,4.272,29.523,60.946,73.246,21.4,0.998,0.297,0.20341
2,1969,25471.616,5.462,29.033,61.351,73.417,20.7,0.977,0.297,0.19795
2,1970,25231.127,5.838,28.551,61.73,73.495,19.9,1.165,0.297,0.18097
2,1971,25734.483,4.293,28.02,62.169,73.533,19.1,1.264,0.297,0.16996
2,1972,26798.534,3.272,27.37,62.733,73.563,18.3,1.071,0.297,0.16474
2,1973,28042.552,6.178,26.636,63.358,73.586,17.5,0.954,0.297,0.15882
2,1974,27637.3,11.055,25.893,63.98,73.604,16.7,0.914,0.297,0.1527
2,1975,27309.869,9.143,25.163,64.565,73.619,15.9,0.986,0.297,0.14395
2,1976,28509.143,5.745,24.448,65.128,73.635,15.2,0.95,0.297,0.14246
