dyad_id,conflict_id,year,acd_intensity,type,region,ged_events,ged_deaths
399,200,1946,2,intrastate,Americas,,
400,200,1949,1,intrastate,Americas,,
400,200,1952,1,intrastate,Americas,,
401,200,1967,1,intrastate,Americas,,
402,201,1946,1,extrasystemic,Asia,,
402,201,1947,1,extrasystemic,Asia,,
402,201,1948,1,extrasystemic,Asia,,
402,201,1949,1,extrasystemic,Asia,,
402,201,1950,1,extrasystemic,Asia,,
402,201,1951,1,extrasystemic,Asia,,
402,201,1952,1,extrasystemic,Asia,,
402,201,1953,1,extrasystemic,Asia,,
403,202,1946,2,intrastate,Asia,,
403,202,1947,2,intrastate,Asia,,
403,202,1948,2,intrastate,Asia,,
403,202,1949,2,intrastate,Asia,,
404,203,1946,2,intrastate,Europe,,
404,203,1947,2,intrastate,Europe,,
404,203,1948,2,intrastate,Europe,,
404,203,1949,2,intrastate,Europe,,
405,204,1946,1,extrasystemic,Asia,,
405,204,1947,1,extrasystemic,Asia,,
405,204,1948,1,extrasystemic,Asia,,
405,204,1949,1,extrasystemic,Asia,,
406,205,1946,1,internationalized-intrastate,Middle East,,
406,205,1966,1,internationalized-intrastate,Middle East,,
406,205,1967,1,internationalized-intrastate,Middle East,,
406,205,1968,1,internationalized-intrastate,Middle East,,
406,205,1979,2,internationalized-intrastate,Middle East,,
406,205,1980,2,internationalized-intrastate,Middle East,,
406,205,1981,1,internationalized-intrastate,Middle East,,
406,205,1982,2,internationalized-intrastate,Middle East,,
406,205,1983,1,internationalized-intrastate,Middle East,,
406,205,1984,1,internationalized-intrastate,Middle East,,
406,205,1985,1,internationalized-intrastate,Middle East,,
406,205,1986,1,internationalized-intrastate,Middle East,,
406,205,1987,1,internationalized-intrastate,Middle East,,
406,205,1988,1,internationalized-intrastate,Middle East,,
406,205,1990,1,internationalized-intrastate,Middle East,14,31
406,205,1991,0,internationalized-intrastate,Middle East,1,0
406,205,1992,0,internationalized-intrastate,Middle East,1,4
406,205,1993,1,internationalized-intrastate,Middle East,9,110
406,205,1994,0,internationalized-intrastate,Middle East,5,18
406,205,1995,0,internationalized-intrastate,Middle East,3,17
406,205,1996,1,internationalized-intrastate,Middle East,4,27
406,205,2016,1,internationalized-intrastate,Middle East,14,30
406,205,2017,0,internationalized-intrastate,Middle East,2,2
406,205,2018,1,internationalized-intrastate,Middle East,7,44
406,205,2019,0,internationalized-intrastate,Middle East,8,18
406,205,2020,0,internationalized-intrastate,Middle East,4,7
406,205,2021,0,internationalized-intrastate,Middle East,5,13
406,205,2022,0,internationalized-intrastate,Middle East,3,20
407,206,1946,1,internationalized-intrastate,Middle East,,
408,207,1946,1,extrasystemic,Middle East,,
409,208,1946,1,extrasystemic,Asia,,
409,208,1947,1,extrasystemic,Asia,,
409,208,1948,1,extrasystemic,Asia,,
409,208,1949,1,extrasystemic,Asia,,
409,208,1950,1,extrasystemic,Asia,,
409,208,1951,1,extrasystemic,Asia,,
409,208,1952,1,extrasystemic,Asia,,
409,208,1953,1,extrasystemic,Asia,,
410,209,1946,2,intrastate,Asia,,
410,209,1947,2,intrastate,Asia,,
410,209,1948,2,intrastate,Asia,,
410,209,1949,2,intrastate,Asia,,
410,209,1950,2,intrastate,Asia,,
410,209,1951,2,intrastate,Asia,,
410,209,1952,2,intrastate,Asia,,
410,209,1953,2,intrastate,Asia,,
410,209,1954,2,intrastate,Asia,,
411,209,1969,1,intrastate,Asia,,
411,209,1970,1,intrastate,Asia,,
411,209,1971,1,intrastate,Asia,,
411,209,1972,1,intrastate,Asia,,
411,209,1973,1,intrastate,Asia,,
411,209,1974,1,intrastate,Asia,,
411,209,1975,1,intrastate,Asia,,
411,209,1976,1,intrastate,Asia,,
411,209,1977,1,intrastate,Asia,,
411,209,1978,1,intrastate,Asia,,
411,209,1979,1,intrastate,Asia,,
411,209,1980,1,intrastate,Asia,,
411,209,1981,1,intrastate,Asia,,
411,209,1982,2,intrastate,Asia,,
411,209,1983,2,intrastate,Asia,,
411,209,1984,2,intrastate,Asia,,
411,209,1985,2,intrastate,Asia,,
411,209,1986,2,intrastate,Asia,,
411,209,1987,2,intrastate,Asia,,
411,209,1988,1,intrastate,Asia,,
411,209,1989,1,intrastate,Asia,92,725
411,209,1990,2,intrastate,Asia,83,1140
411,209,1991,2,intrastate,Asia,95,1514
411,209,1992,1,intrastate,Asia,51,430
411,209,1993,1,intrastate,Asia,21,99
411,209,1994,1,intrastate,Asia,14,69
411,209,1995,1,intrastate,Asia,7,36
411,209,1996,0,intrastate,Asia,2,6
411,209,1997,1,intrastate,Asia,11,32
411,209,1998,0,intrastate,Asia,1,6
411,209,1999,1,intrastate,Asia,32,93
411,209,2000,1,intrastate,Asia,27,140
411,209,2001,1,intrastate,Asia,32,142
